segment_id,label,P_mean,image_path
1,mayep,29.0086,ML_Data/training_images\mayep_segment_0001.png
2,mayep,28.8398,ML_Data/training_images\mayep_segment_0002.png
3,mayep,29.0478,ML_Data/training_images\mayep_segment_0003.png
4,mayep,29.0565,ML_Data/training_images\mayep_segment_0004.png
5,mayep,28.9238,ML_Data/training_images\mayep_segment_0005.png
6,mayep,28.8785,ML_Data/training_images\mayep_segment_0006.png
7,mayep,29.0915,ML_Data/training_images\mayep_segment_0007.png
8,mayep,28.9693,ML_Data/training_images\mayep_segment_0008.png
9,mayep,29.046,ML_Data/training_images\mayep_segment_0009.png
10,mayep,29.1049,ML_Data/training_images\mayep_segment_0010.png
11,mayep,29.1017,ML_Data/training_images\mayep_segment_0011.png
12,mayep,29.1284,ML_Data/training_images\mayep_segment_0012.png
13,mayep,28.9401,ML_Data/training_images\mayep_segment_0013.png
14,mayep,28.9067,ML_Data/training_images\mayep_segment_0014.png
15,mayep,28.9593,ML_Data/training_images\mayep_segment_0015.png
16,mayep,28.8001,ML_Data/training_images\mayep_segment_0016.png
17,mayep,29.0219,ML_Data/training_images\mayep_segment_0017.png
18,mayep,29.0188,ML_Data/training_images\mayep_segment_0018.png
19,mayep,29.1266,ML_Data/training_images\mayep_segment_0019.png
20,mayep,28.9565,ML_Data/training_images\mayep_segment_0020.png
21,mayep,28.8085,ML_Data/training_images\mayep_segment_0021.png
22,mayep,28.9832,ML_Data/training_images\mayep_segment_0022.png
23,mayep,28.7697,ML_Data/training_images\mayep_segment_0023.png
24,mayep,29.0169,ML_Data/training_images\mayep_segment_0024.png
25,mayep,28.8327,ML_Data/training_images\mayep_segment_0025.png
26,mayep,29.0011,ML_Data/training_images\mayep_segment_0026.png
27,mayep,28.7916,ML_Data/training_images\mayep_segment_0027.png
28,mayep,28.7855,ML_Data/training_images\mayep_segment_0028.png
29,mayep,28.8239,ML_Data/training_images\mayep_segment_0029.png
30,mayep,28.8715,ML_Data/training_images\mayep_segment_0030.png
31,mayep,28.6937,ML_Data/training_images\mayep_segment_0031.png
32,mayep,27.6047,ML_Data/training_images\mayep_segment_0032.png
33,mayep,28.1028,ML_Data/training_images\mayep_segment_0033.png
34,mayep,27.9994,ML_Data/training_images\mayep_segment_0034.png
35,mayep,28.1702,ML_Data/training_images\mayep_segment_0035.png
36,mayep,28.0661,ML_Data/training_images\mayep_segment_0036.png
37,mayep,28.0223,ML_Data/training_images\mayep_segment_0037.png
38,mayep,27.9819,ML_Data/training_images\mayep_segment_0038.png
39,mayep,28.0303,ML_Data/training_images\mayep_segment_0039.png
40,mayep,27.8192,ML_Data/training_images\mayep_segment_0040.png
41,mayep,27.8202,ML_Data/training_images\mayep_segment_0041.png
42,mayep,27.8876,ML_Data/training_images\mayep_segment_0042.png
43,mayep,27.4769,ML_Data/training_images\mayep_segment_0043.png
44,mayep,27.6175,ML_Data/training_images\mayep_segment_0044.png
45,mayep,27.6851,ML_Data/training_images\mayep_segment_0045.png
46,mayep,27.5893,ML_Data/training_images\mayep_segment_0046.png
47,mayep,27.7125,ML_Data/training_images\mayep_segment_0047.png
48,mayep,27.6434,ML_Data/training_images\mayep_segment_0048.png
49,mayep,27.8392,ML_Data/training_images\mayep_segment_0049.png
50,mayep,27.6713,ML_Data/training_images\mayep_segment_0050.png
51,mayep,27.4795,ML_Data/training_images\mayep_segment_0051.png
52,mayep,27.6547,ML_Data/training_images\mayep_segment_0052.png
53,mayep,27.6219,ML_Data/training_images\mayep_segment_0053.png
54,mayep,27.5758,ML_Data/training_images\mayep_segment_0054.png
55,mayep,27.5895,ML_Data/training_images\mayep_segment_0055.png
56,mayep,27.6018,ML_Data/training_images\mayep_segment_0056.png
57,mayep,27.5281,ML_Data/training_images\mayep_segment_0057.png
58,mayep,27.4322,ML_Data/training_images\mayep_segment_0058.png
59,mayep,27.6915,ML_Data/training_images\mayep_segment_0059.png
60,mayep,27.5317,ML_Data/training_images\mayep_segment_0060.png
61,mayep,27.5871,ML_Data/training_images\mayep_segment_0061.png
62,mayep,27.3664,ML_Data/training_images\mayep_segment_0062.png
63,mayep,27.5134,ML_Data/training_images\mayep_segment_0063.png
